✓,Параметр,Тип поля,Допустимые значения,Обязательное,Синонимы Veber,Синонимы Sturman,Функция нормализации,Описание
TRUE,Артикул,формат,"Строка без пробелов, только латиница/цифры, пример: 12345-ABC",да,,,,"Обязательное поле.
 Не удалять и не изменять!
 При обновлении размещенного на сайте товара значение оставить без изменений.
 При добавлении на сайт нового товара указать артикул поставщика.
 Не участвует в сравнении с товаром поставщика.
 Запрещено менять регистр, символы, формат, добавлять префиксы/суффиксы.
 Используется для корректного обновления товара: при любом расхождении InSales не сможет внести изменения."
TRUE,Название товара или услуги,формат,"Текстовая строка, соблюдая регистр и порядок слов.",да,,,,"Обязательное поле.
 Не удалять и не изменять!
 При обновлении размещенного на сайте товара значение оставить без изменений.
 При добавлении на сайт нового товара взять название поставщика.
 Не участвует в сравнении с товаром поставщика.
 Запрещено менять регистр, символы, формат, добавлять префиксы/суффиксы.
 Используется для корректного обновления товара: при любом расхождении InSales не сможет внести изменения."
TRUE,Цена продажи,число,"Число, без символов и пробелов, пример: 14990",да,,,,"Обязательное поле. Требуется для загрузки. Подставляется вне зависимости от сравнения параметров. 
 Без пробелов, знаков валюты, точек, запятых и символа ₽. При пустом значении или 0 — товар не обновляется."
TRUE,Остаток,число,"Целое число, пример: 10",,,,,Устанавливается вручную при размещении/обновлении товара. По умолчанию — 5. Используется для отображения доступности на складе.
FALSE,Название товара в URL,формат,(ссылка),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,URL,формат,(ссылка),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,ID товара,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
TRUE,Дополнительное описание,формат,(текст),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Видимость на витрине,enum,выставлен; скрыт,,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Применять скидки,enum,да,,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Тег title,формат,(произвольное),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Мета-тег keywords,формат,(текст),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Мета-тег description,формат,(текст),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Размещение на сайте,формат,(да/нет или текст),,,,,"Несколько категорий указываются через ##, без пробелов. Полный путь от корня 'Каталог'."
FALSE,Весовой коэффициент,формат,(произвольное),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Валюта склада,enum,RUR,,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,НДС,enum,Без НДС,,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Единица измерения,enum,шт,,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Изображения,формат,(произвольное),,,,,Ссылки разделяются пробелом. Пробелы в URL заменить на %20. Строгий порядок
FALSE,Ссылка на видео,формат,(ссылка),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,ID варианта,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Штрих-код,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Внешний ID,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
TRUE,Габариты варианта,формат,(формат: Ш×Г×В см),,,,,"Формат: Ш×Г×В в сантиметрах, через латинскую 'x', без единиц измерения и пробелов."
FALSE,Старая цена,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
FALSE,Себестоимость,формат,(число),,,,,"Служебное поле - не удалять и не изменять!
 Не участвует в сравнении с товаром поставщика."
